,0
0,1436.21484375
1,1436.81640625
2,1436.87890625
3,1436.7578125
4,1436.8203125
5,1436.8203125
6,1436.55078125
7,1436.55078125
8,1436.55078125
9,1436.55078125
10,1436.61328125
11,1436.61328125
12,1436.703125
13,1436.6171875
14,1436.6171875
15,1436.484375
16,1436.484375
17,1436.34375
18,1436.21875
19,1436.21875
20,1435.91796875
21,1435.984375
22,1435.984375
23,1435.984375
24,1435.984375
25,1435.984375
26,1435.984375
27,1436.0078125
28,1436.0078125
29,1436.0078125
30,1436.0078125
31,1436.0703125
32,1436.0703125
33,1436.0703125
34,1436.0703125
35,1436.0703125
36,1436.0703125
37,1436.1328125
38,1436.1328125
39,1436.578125
40,1438.01953125
41,1438.01953125
42,1438.01953125
43,1438.0859375
44,1438.26953125
45,1438.9453125
46,1438.9453125
47,1438.8671875
48,1438.8671875
49,1438.8671875
50,1438.8671875
51,1438.9296875
52,1438.9296875
53,1438.9296875
54,1438.9296875
55,1438.9296875
56,1438.9296875
57,1438.9296875
58,1438.9296875
59,1438.9296875
