,0
0,1435.08984375
1,1436.05859375
2,1469.5546875
3,1498.7421875
4,1505.5859375
5,1510.45703125
6,1518.48046875
7,1517.84765625
8,1520.03515625
9,1515.1171875
10,1519.30859375
11,1540.16015625
12,1554.81640625
13,1556.53125
14,1553.6171875
15,1555.6953125
16,1553.62890625
17,1553.62890625
18,1553.60546875
19,1553.65625
20,1553.7578125
21,1560.81640625
22,1583.1953125
23,1559.40234375
24,1653.6328125
25,1742.171875
26,1738.7265625
27,1750.33984375
28,1776.109375
29,1764.2265625
30,1768.515625
31,1768.05078125
32,1847.3125
33,1849.4453125
34,1849.78515625
35,1842.73046875
36,1843.92578125
37,1843.98828125
38,1840.4609375
39,1840.4609375
40,1812.0625
41,1812.25
42,1813.26953125
43,1813.26953125
44,1814.02734375
45,1814.4921875
46,1814.4921875
47,1814.74609375
48,1814.74609375
49,1776.12109375
50,1780.61328125
51,1767.05859375
52,1778.56640625
53,1779.3359375
54,1795.140625
55,1795.84375
56,1788.98828125
57,1789.2421875
58,1789.49609375
59,1792.3046875
