,0
0,1418.6640625
1,1418.6640625
2,1422.125
3,1432.96484375
4,1436.4375
5,1454.43359375
6,1458.16796875
7,1498.7578125
8,1510.7890625
9,1521.2578125
10,1528.85546875
11,1683.18359375
12,1685.1484375
13,1693.515625
14,1698.23828125
15,1683.58984375
16,1698.73828125
17,1699.8515625
18,1700.1640625
19,1700.35546875
20,1704.31640625
21,1756.42578125
22,1828.578125
23,2061.59375
24,2010.7265625
25,2008.84765625
26,2009.03515625
27,1972.58984375
28,1969.8984375
29,1966.3125
30,1966.3125
31,1971.4453125
32,1939.5703125
33,1939.5703125
34,1947.49609375
35,1947.6640625
36,1951.609375
37,1951.609375
38,1951.609375
39,1951.609375
40,1951.609375
41,1951.609375
42,1951.609375
43,1951.609375
44,1951.6328125
45,1952.2109375
46,1952.2109375
47,1952.2109375
48,1951.015625
49,1950.890625
50,1950.93359375
51,1950.7578125
52,1950.8203125
53,1950.8828125
54,1950.8828125
55,1950.8828125
56,1950.8828125
57,2044.56640625
58,2036.74609375
59,2036.74609375
