,0
0,1436.25390625
1,1452.140625
2,1452.84765625
3,1468.88671875
4,1469.76953125
5,1466.63671875
6,1469.09375
7,1477.3828125
8,1477.828125
9,1466.00390625
10,1474.37890625
11,1470.48046875
12,1475.57421875
13,1477.23828125
14,1467.42578125
15,1474.6015625
16,1577.94140625
17,1631.46484375
18,1624.53125
19,1717.96484375
20,1713.515625
21,1733.71484375
22,1770.828125
23,1767.96875
24,1769.16796875
25,1766.2578125
26,1760.546875
27,1756.55078125
28,1774.7578125
29,1756.6171875
30,1762.37890625
31,1763.953125
32,1764.53515625
33,1764.98046875
34,1765.1796875
35,1765.6796875
36,1736.71875
37,1736.78125
38,1740.875
39,1741.69921875
40,1738.4765625
41,1740.8984375
42,1744.00390625
43,1746.171875
44,1750.10546875
45,1753.1875
46,1755.734375
47,1754.5
48,1755.69921875
49,1756.78125
50,1757.2890625
51,1757.73046875
52,1757.91796875
53,1758.37109375
54,1803.609375
55,1803.55078125
56,1803.55078125
57,1806.1796875
58,1830.71484375
59,1931.19921875
