,0
0,1703.32421875
1,1703.32421875
2,1703.32421875
3,1723.671875
4,1709.2578125
5,1709.2578125
6,1709.2578125
7,1717.0390625
8,1717.10546875
9,1727.046875
10,1729.8203125
11,1730.12109375
12,1745.93359375
13,1736.24609375
14,1741.2578125
15,1745.26171875
16,1748.484375
17,1749.29296875
18,1728.4609375
19,1743.70703125
20,1727.55859375
21,1728.61328125
22,1737.57421875
23,1739.23046875
24,1739.23046875
25,1739.23046875
26,1739.22265625
27,1740.1328125
28,1740.1328125
29,1740.16796875
30,1740.31640625
31,1740.3203125
32,1757.35546875
33,1755.54296875
34,1750.29296875
35,1750.29296875
36,1749.203125
37,1749.203125
38,1748.83984375
39,1748.74609375
40,1748.74609375
41,1748.80859375
42,1748.80859375
43,1748.69140625
44,1748.69140625
45,1748.75390625
46,1748.75390625
47,1748.75390625
48,1748.75390625
49,1748.75390625
50,1748.75390625
51,1748.75390625
52,1748.75390625
53,1748.64453125
54,1748.64453125
55,1748.64453125
56,1748.64453125
57,1748.64453125
58,1748.64453125
59,1748.50390625
