,0
0,1415.98046875
1,1443.109375
2,1495.55859375
3,1635.41015625
4,1667.17578125
5,1689.02734375
6,1690.79296875
7,1685.1953125
8,1689.74609375
9,1692.2265625
10,1692.94140625
11,1695.40234375
12,1696.68359375
13,1697.1875
14,1703.99609375
15,1780.2734375
16,1849.26953125
17,1849.45703125
18,1846.43359375
19,1890.6953125
20,1987.51171875
21,1989.90625
22,1986.4453125
23,1986.0078125
24,2012.85546875
25,2018.55078125
26,2018.55078125
27,1991.37109375
28,1996.78515625
29,1998.0703125
30,1999.5703125
31,1999.57421875
32,2000.953125
33,2001.63671875
34,2002.13671875
35,2002.1171875
36,2002.3046875
37,1979.9921875
38,1979.9921875
39,1980.3125
40,1980.46484375
41,1981.40625
42,1982.35546875
43,1984.33984375
44,1984.90625
45,1992.609375
46,1995.7265625
47,1995.84375
48,1995.84375
49,1996.07421875
50,1996.7890625
51,1997.9296875
52,2019.1875
53,2014.93359375
54,2019.2890625
55,2019.37890625
56,2020.09375
57,2020.34765625
58,2020.66015625
59,2021.2890625
